final_name,batch
FUSCCTNBC038.WBC,batch_17_2
FUSCCTNBC038.WBC,batch_17_2
FUSCCTNBC039.WBC,batch_19
FUSCCTNBC039.WBC,batch_19
FUSCCTNBC040.WBC,batch_5
FUSCCTNBC040.WBC,batch_5
FUSCCTNBC041.WBC,batch_12
FUSCCTNBC041.WBC,batch_12
FUSCCTNBC044.WBC,batch_2
FUSCCTNBC044.WBC,batch_2
FUSCCTNBC046.WBC,batch_5
FUSCCTNBC046.WBC,batch_5
FUSCCTNBC047.WBC,batch_5
FUSCCTNBC047.WBC,batch_5
FUSCCTNBC048.WBC,batch_5
FUSCCTNBC048.WBC,batch_5
FUSCCTNBC050.WBC,batch_28
FUSCCTNBC050.WBC,batch_28
FUSCCTNBC052.WBC,batch_5
FUSCCTNBC052.WBC,batch_5
FUSCCTNBC056.WBC,batch_19
FUSCCTNBC056.WBC,batch_19
FUSCCTNBC057.WBC,batch_28
FUSCCTNBC057.WBC,batch_28
FUSCCTNBC058.WBC,batch_12
FUSCCTNBC058.WBC,batch_12
FUSCCTNBC059.WBC,batch_17_2
FUSCCTNBC059.WBC,batch_17_2
FUSCCTNBC063.WBC,batch_28
FUSCCTNBC063.WBC,batch_28
FUSCCTNBC066.WBC,batch_2
FUSCCTNBC066.WBC,batch_2
FUSCCTNBC068.WBC,batch_12
FUSCCTNBC068.WBC,batch_12
FUSCCTNBC070.WBC,batch_5
FUSCCTNBC070.WBC,batch_5
FUSCCTNBC073.WBC,batch_14
FUSCCTNBC073.WBC,batch_14
FUSCCTNBC075.WBC,batch_12
FUSCCTNBC075.WBC,batch_12
FUSCCTNBC076.WBC,batch_17_2
FUSCCTNBC076.WBC,batch_17_2
FUSCCTNBC078.WBC,batch_12
FUSCCTNBC078.WBC,batch_12
FUSCCTNBC080.WBC,batch_2
FUSCCTNBC080.WBC,batch_2
FUSCCTNBC081.WBC,batch_19
FUSCCTNBC081.WBC,batch_19
FUSCCTNBC082.WBC,batch_14
FUSCCTNBC082.WBC,batch_14
FUSCCTNBC083.WBC,batch_12
FUSCCTNBC083.WBC,batch_12
FUSCCTNBC085.WBC,batch_22
FUSCCTNBC085.WBC,batch_22
FUSCCTNBC086.WBC,batch_5
FUSCCTNBC086.WBC,batch_5
FUSCCTNBC090.WBC,batch_12
FUSCCTNBC090.WBC,batch_12
FUSCCTNBC092.WBC,batch_12
FUSCCTNBC092.WBC,batch_12
FUSCCTNBC093.WBC,batch_5
FUSCCTNBC093.WBC,batch_5
FUSCCTNBC095.WBC,batch_30
FUSCCTNBC095.WBC,batch_30
FUSCCTNBC097.WBC,batch_28
FUSCCTNBC097.WBC,batch_28
FUSCCTNBC099.WBC,batch_12
FUSCCTNBC099.WBC,batch_12
FUSCCTNBC100.WBC,batch_22
FUSCCTNBC100.WBC,batch_22
FUSCCTNBC102.WBC,batch_7
FUSCCTNBC102.WBC,batch_7
FUSCCTNBC103.WBC,batch_19
FUSCCTNBC103.WBC,batch_19
FUSCCTNBC105.WBC,batch_28
FUSCCTNBC105.WBC,batch_28
FUSCCTNBC107.WBC,batch_2
FUSCCTNBC107.WBC,batch_2
FUSCCTNBC111.WBC,batch_28
FUSCCTNBC111.WBC,batch_28
FUSCCTNBC113.WBC,batch_28
FUSCCTNBC113.WBC,batch_28
FUSCCTNBC114.WBC,batch_19
FUSCCTNBC114.WBC,batch_19
FUSCCTNBC116.WBC,batch_12
FUSCCTNBC116.WBC,batch_12
FUSCCTNBC118.WBC,batch_7
FUSCCTNBC118.WBC,batch_7
FUSCCTNBC119.WBC,batch_7
FUSCCTNBC119.WBC,batch_7
FUSCCTNBC121.WBC,batch_7
FUSCCTNBC121.WBC,batch_7
FUSCCTNBC123.WBC,batch_7
FUSCCTNBC123.WBC,batch_7
FUSCCTNBC125.WBC,batch_28
FUSCCTNBC125.WBC,batch_28
FUSCCTNBC128.WBC,batch_28
FUSCCTNBC128.WBC,batch_28
FUSCCTNBC129.WBC,batch_19
FUSCCTNBC129.WBC,batch_19
FUSCCTNBC130.WBC,batch_12
FUSCCTNBC130.WBC,batch_12
FUSCCTNBC132.WBC,batch_12
FUSCCTNBC132.WBC,batch_12
FUSCCTNBC134.WBC,batch_28
FUSCCTNBC134.WBC,batch_28
FUSCCTNBC136.WBC,batch_22_2
FUSCCTNBC136.WBC,batch_22_2
FUSCCTNBC138.WBC,batch_19
